date,emp,type,count
11/1/15,"Alex Hall","suspicious",1
11/1/15,"Augusta Sharp","suspicious",1
12/1/15,"Dylan Ballard","suspicious",1
11/1/15,"Dylan Ballard","suspicious",3
12/1/15,"Glen Grant","suspicious",2
12/1/15,"Jose Ringwald","suspicious",1
11/1/15,"Jose Ringwald","suspicious",2
11/1/15,"Julie Tierno","suspicious",1
11/1/15,"Kerstin Belveal","suspicious",3
12/1/15,"Lindsy Henion","suspicious",2
11/1/15,"Lindsy Henion","suspicious",1
12/1/15,"May Burton","suspicious",2
11/1/15,"May Burton","suspicious",1
11/1/15,"Melita Scarpaci","suspicious",2
12/1/15,"Meryl Pastuch","suspicious",3
11/1/15,"Meryl Pastuch","suspicious",3
12/1/15,"Patrick Lane","suspicious",1
11/1/15,"Patrick Lane","suspicious",2
11/1/15,"Ramiro Gault","suspicious",1
11/1/15,"Refugio Orrantia","suspicious",2
11/1/15,"Richard Fox","suspicious",6
12/1/15,"Rosalia Larroque","suspicious",1
11/1/15,"Rosalia Larroque","suspicious",1
11/1/15,"Sara Ballard","suspicious",1
12/1/15,"Tobi Gatlin","suspicious",1
4/1/16,"Alex Hall","suspicious",1
12/1/16,"Augusta Sharp","suspicious",1
5/1/16,"Augusta Sharp","suspicious",3
2/1/16,"Augusta Sharp","suspicious",1
1/1/16,"Augusta Sharp","suspicious",1
2/1/16,"Dylan Ballard","suspicious",1
2/1/16,"Glen Grant","suspicious",3
12/1/16,"Jose Ringwald","suspicious",1
11/1/16,"Jose Ringwald","suspicious",1
7/1/16,"Jose Ringwald","suspicious",1
6/1/16,"Jose Ringwald","suspicious",1
5/1/16,"Jose Ringwald","suspicious",1
1/1/16,"Jose Ringwald","suspicious",1
6/1/16,"Julie Tierno","suspicious",1
3/1/16,"Julie Tierno","suspicious",1
12/1/16,"Kerstin Belveal","suspicious",1
6/1/16,"Kerstin Belveal","suspicious",2
5/1/16,"Kerstin Belveal","suspicious",2
12/1/16,"Lindsy Henion","suspicious",1
8/1/16,"Lindsy Henion","suspicious",1
7/1/16,"Lindsy Henion","suspicious",1
3/1/16,"Lindsy Henion","suspicious",1
2/1/16,"Lindsy Henion","suspicious",2
1/1/16,"Lindsy Henion","suspicious",1
1/1/16,"Lizbeth Jindra","suspicious",1
10/1/16,"Meryl Pastuch","suspicious",1
8/1/16,"Meryl Pastuch","suspicious",1
3/1/16,"Meryl Pastuch","suspicious",2
1/1/16,"Meryl Pastuch","suspicious",1
7/1/16,"Ramiro Gault","suspicious",1
2/1/16,"Ramiro Gault","suspicious",1
9/1/16,"Refugio Orrantia","suspicious",1
6/1/16,"Richard Fox","suspicious",2
5/1/16,"Richard Fox","suspicious",2
4/1/16,"Richard Fox","suspicious",3
